Position,Artist,Song,Streams
2726,Taylor Swift ,dorothea,11209994
2727,BTS ,Black Swan,11206182
2728,SZA ,Smoking on my Ex Pack,11200596
2729,The Backseat Lovers ,Kilby Girl,11177633
2730,ROSALÍA ,"Yo x Ti, Tu x Mi",11175791
2731,Harry Styles ,Cherry,11170808
2732,Gunna ,thought i was playing,11157150
2733,Machine Gun Kelly ,Trap Paris,11129223
2734,Future ,712PM,11128834
2735,Drake ,Plastic Bag,11122656
2736,Lil Wayne ,Famous,11083175
2737,Kay Starr ,The Man with the Bag,11071911
2738,Bo Burnham ,Look Who’s Inside Again,11070508
2739,G,Eazy  Let's Get Lost,11060240
2740,Camila Cabello ,Easy,11047820
2741,Lil Uzi Vert ,Bigger Than Life,11046510
2742,XXXTENTACION ,infinity (888),11041478
2743,Taylor Swift ,hoax,11023937
2744,Shawn Hook ,Reminding Me,11021570
2745,The Weeknd ,Alone Again,11019791
2746,Brett Eldredge ,Drunk On Your Love,11012219
2747,Ariana Grande ,safety net,11006674
2748,Chris Rea ,Driving Home for Christmas  2019 Remaster,11004260
2749,Queen ,Under Pressure  Remastered,10988416
2750,NLE Choppa ,Famous Hoes,10979047
2751,Lorde ,Royals,10969460
2752,The Weeknd ,Prisoner,10966513
2753,Macklemore ,Marmalade,10936577
2754,Taylor Swift ,Death By A Thousand Cuts,10934936
2755,Julia Michaels ,Jump,10931890
2756,Lil Uzi Vert ,POP,10931175
2757,Doja Cat ,Juicy,10921989
2758,The 1975 ,The Sound,10915861
2759,JID ,Surround Sound,10910949
2760,Sam Smith ,I’m Ready,10890973
2761,Morgan Wallen ,This Bar,10890870
2762,Bazzi ,Focus,10871397
2763,A Boogie Wit da Hoodie ,Jungle,10859496
2764,Vince Guaraldi Trio ,Linus And Lucy,10850457
2765,Kendrick Lamar ,untitled 02 | 06.23.2014.,10849389
2766,Anitta ,Envolver,10838226
2767,Riton ,Friday,10832638
2768,Kanye West ,Heaven and Hell,10829822
2769,Florida Georgia Line ,"God, Your Mama, And Me",10805955
2770,Kanye West ,Pure Souls,10793624
2771,Sia ,Audio,10791355
2772,Justin Bieber ,Been You,10780657
2773,Lil Wayne ,Dark Side Of The Moon,10776030
2774,Future ,I'm so Groovy,10770200
2775,Drake ,Skepta Interlude,10758257
2776,Tones And I ,Never Seen the Rain,10755837
2777,SZA ,Conceited,10753602
2778,Sleepy Hallow ,Deep End Freestyle,10752006
2779,Lil Tecca ,Out Of Love,10748864
2780,BTS ,DNA,10745600
2781,RAYE ,Escapism.,10733718
2782,Ellie Goulding ,Still Falling For You,10716377
2783,Nat King Cole ,The Christmas Song (Merry Christmas To You)  Remastered 1999,10684911
2784,Ed Sheeran ,Barcelona,10683015
2785,The Weeknd ,Less Than Zero,10677300
2786,The Chainsmokers ,Side Effects,10672634
2787,"Tyler, The Creator ",LEMONHEAD,10666865
2788,Billy Currington ,Don't It,10651434
2789,Ed Sheeran ,Supermarket Flowers,10646530
2790,Eric Church ,Record Year,10645293
2791,Kodak Black ,"If I'm Lyin, I'm Flyin",10641377
2792,Jordan Davis ,What My World Spins Around,10641047
2793,Alok ,Hear Me Now,10630250
2794,MisterWives ,Reflections,10618516
2795,The Chainsmokers ,Everybody Hates Me,10615035
2796,Drake ,Since Way Back,10610704
2797,Coldplay ,Hymn for the Weekend,10610578
2798,CKay ,love nwantiti,10607139
2799,The Weeknd ,Too Late,10606568
2800,AWOLNATION ,Sail,10604561
2801,Drake ,Fountains,10603428
2802,Ariana Grande ,nasty,10597177
2803,A$AP Ferg ,Plain Jane REMIX,10579763
2804,Twenty One Pilots ,Nico And The Niners,10562110
2805,Kanye West ,I Thought About Killing You,10548658
2806,XXXTENTACION ,Save Me,10541076
2807,Daddy Yankee ,X ÚLTIMA VEZ,10539542
2808,KIDS SEE GHOSTS ,4th Dimension,10535187
2809,Kendrick Lamar ,Black Panther,10526792
2810,Natti Natasha ,Criminal,10525473
2811,The Kid LAROI ,TELL ME WHY,10521748
2812,XXXTENTACION ,$$$  with Matt Ox,10487523
2813,Billie Eilish ,goodbye,10487149
2814,Calvin Harris ,Heatstroke,10477596
2815,Anita Kerr Singers ,Jingle Bell Rock,10475955
2816,PinkPantheress ,Boy's a liar,10471117
2817,MARINA ,Bubblegum Bitch,10469310
2818,Stephen Sanchez ,Until I Found You,10463586
2819,"Tyler, The Creator ",911 / Mr. Lonely,10460570
2820,Meek Mill ,Uptown Vibes,10459884
2821,Taylor Swift ,Lover (Remix),10452654
2822,Shawn Mendes ,Youth,10439870
2823,Shawn Mendes ,Youth feat. Khalid,10439121
2824,Bryson Tiller ,Been That Way,10438865
2825,Lil Peep ,I've Been Waiting (w/ ILoveMakonnen & Fall Out Boy),10436513
2826,Taylor Swift ,cowboy like me,10432873
2827,Vince Staples ,Opps,10431958
2828,Juice WRLD ,Girl Of My Dreams,10429348
2829,Shawn Mendes ,Nervous,10415833
2830,Trippie Redd ,Mac 10,10407135
2831,Bing Crosby ,I'll Be Home For Christmas  Single Version,10394004
2832,Dua Lipa ,Love Again,10379621
2833,Drake ,Used To,10376229
2834,Calvin Harris ,Over Now,10364699
2835,Kanye West ,Remote Control,10364234
2836,Drake ,6 Man,10343168
2837,Tiësto ,Wasted,10308797
2838,Taylor Swift ,State Of Grace (Taylor's Version),10291289
2839,Sara Kays ,Remember That Night?,10277179
2840,Rihanna ,American Oxygen,10247664
2841,Nico & Vinz ,That's How You Know,10207565
2842,Lil Uzi Vert ,You Better Move,10202028
2843,Hunter Hayes ,21,10187929
2844,Shawn Mendes ,It'll Be Okay,10174511
2845,The Weeknd ,Ordinary Life,10166793
2846,Jeremih ,Pass Dat,10161932
2847,The Weeknd ,How Do I Make You Love Me?,10150923
2848,Harry Styles ,Sweet Creature,10134365
2849,Frank Sinatra ,The First Noel  Remastered 1999,10133336
2850,Popp Hunna ,Adderall (Corvette Corvette)  Remix,10131451
2851,Luke Bryan ,"Huntin', Fishin' And Lovin' Every Day",10119911
2852,The Chainsmokers ,You Owe Me,10113688
2853,Kanye West ,No Mistakes,10112521
2854,Tion Wayne ,Body (Remix),10103363
2855,Tori Kelly ,Nobody Love,10087151
2856,Takeoff ,Casper,10081717
2857,Mac Miller ,Ladders,10081631
2858,Drake ,March 14,10079839
2859,Drake ,Final Fantasy,10078833
2860,J. Cole ,She's Mine Pt. 2,10064123
2861,Josh Turner ,Hometown Girl,10055611
2862,Steve Aoki ,Waste It On Me,10053287
2863,Juice WRLD ,Rockstar In His Prime,10050931
2864,Taylor Swift ,I Knew You Were Trouble (Taylor's Version),10036615
2865,Swae Lee ,Won't Be Late,10003508
2866,Kelly Clarkson ,Heartbeat Song,9996717
2867,Justin Bieber ,What Do You Mean?  Acoustic,9980215
2868,6ix9ine ,TROLLZ,9979934
2869,Jason Derulo ,Wiggle,9964779
2870,Ed Sheeran ,Afterglow,9961532
2871,Montell Fish ,Hotel,9961390
2872,Luke Combs ,Does To Me,9958266
2873,Katy Perry ,Daisies,9951496
2874,Drake ,Get Along Better,9948750
2875,Bad Bunny ,Agosto,9933840
2876,J. Cole ,h u n g e r . o n . h i l l s i d e,9930823
2877,Drake ,Views,9927962
2878,Twenty One Pilots ,My Blood,9921331
2879,The Weeknd ,Save Your Tears (Remix),9920200
2880,Yung Lean ,Ginseng Strip 2002,9916835
2881,Cardi B ,Thru Your Phone,9915577
2882,Kendrick Lamar ,The Heart Part 5,9913441
2883,The Weeknd ,Faith,9902407
2884,LPB Poody ,Batman,9882856
2885,Juice WRLD ,Feline,9876916
2886,Bad Bunny ,NI BIEN NI MAL,9869073
2887,Bea Miller ,feel something,9861098
2888,Bad Bunny ,Pero Ya No,9859922
2889,benny blanco ,Bad Decisions,9849686
2890,BTS ,Life Goes On,9847187
2891,Ariana Grande ,shut up,9842737
2892,Eminem ,Those Kinda Nights,9842639
2893,The Weeknd ,Escape From LA,9835674
2894,The Weeknd ,Often  Kygo Remix,9829526
2895,Post Malone ,Wrapped Around Your Finger,9827103
2896,State of Sound ,Wake Up Where You Are,9802713
2897,Mac Miller ,Circles,9802118
2898,Dean Martin ,Rudolph The RedNosed Reindeer,9801987
2899,Rick Ross ,Gold Roses,9797675
2900,The Weeknd ,Snowchild,9794117
2901,Pop Smoke ,Bout A Million,9786813
2902,Metro Boomin ,Trance,9754898
2903,The Weeknd ,A Lonely Night,9751831
2904,Skylar Grey ,Last One Standing,9746965
2905,A Boogie Wit da Hoodie ,King Of My City,9745463
2906,RealestK ,WFM,9744672
2907,Nicki Minaj ,Barbie Tingz,9726936
2908,Ed Sheeran ,Hearts Don't Break Around Here,9719187
2909,Fall Out Boy ,The Last Of The Real Ones,9714451
2910,Sia ,Cheap Thrills,9708953
2911,Kanye West ,Ok Ok,9698824
2912,Lady Gaga ,Bloody Mary,9698562
2913,A Great Big World ,Say Something,9694514
2914,Nicki Minaj ,MEGATRON,9688805
2915,Alan Walker ,On My Way,9679772
2916,Kane Brown ,Memory,9675467
2917,James Bay ,Hold Back The River,9670165
2918,Kanye West ,Lift Yourself,9667886
2919,Lil Baby ,Ready,9656011
2920,Lil Uzi Vert ,That Way,9648997
2921,Luke Bryan ,Home Alone Tonight,9645746
2922,Tyga ,Ayy Macarena,9641830
2923,Cardi B ,Get Up 10,9638995
2924,Yung Gravy ,oops!,9638963
2925,The Weeknd ,Nothing Without You,9636155
2926,21 Savage ,My Choppa Hate Niggas,9634023
2927,Normani ,Wild Side,9628642
2928,Kid Cudi ,She Knows This,9624455
2929,Beyoncé ,CHURCH GIRL,9623001
2930,Metro Boomin ,Metro Spider,9615205
2931,Dua Lipa ,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",9613292
2932,"Tyler, The Creator ",A BOY IS A GUN,9597820
2933,Kid Cudi ,The Adventures of Moon Man & Slim Shady,9585598
2934,Pitbull ,Timber,9582736
2935,Sia ,Alive,9576404
2936,XXXTENTACION ,bad vibes forever,9567390
2937,Metro Boomin ,Around Me,9562704
2938,Khalid ,Don't Pretend,9561937
2939,Enrique Iglesias ,Bailando  Spanish Version,9560825
2940,Taylor Swift ,marjorie,9547914
2941,Bruno Mars ,Locked Out Of Heaven,9535009
2942,Fall Out Boy ,My Songs Know What You Did In The Dark (Light Em Up),9505180
2943,Fifth Harmony ,BO$$,9501796
2944,Trippie Redd ,Poles 1469,9501411
2945,Drake ,Preach,9494240
2946,Future ,Trap Niggas,9490217
2947,Drake ,Texts Go Green,9486893
2948,MEDUZA ,Lose Control,9484769
2949,J Balvin ,Rojo,9482426
2950,Big Sean ,Halfway Off The Balcony,9479985
2951,Panic! At The Disco ,House Of Memories,9452447
2952,Big Sean ,Sacrifices,9450907
2953,Starley ,Call On Me  Ryan Riback Remix,9447914
2954,Ed Sheeran ,Nancy Mulligan,9447768
2955,J. Cole ,Intro,9436962
2956,Rae Sremmurd ,No Flex Zone,9434089
2957,Eminem ,Good Guy,9428665
2958,Paul Rosenberg ,Paul  Skit,9420000
2959,Kanye West ,Junya,9416936
2960,Bing Crosby ,Silver Bells,9407431
2961,Diplo ,Welcome to the Party,9403160
2962,21 Savage ,Rich Nigga Shit,9401966
2963,A Boogie Wit da Hoodie ,Mood Swings,9400254
2964,Megan Moroney ,Tennessee Orange,9400072
2965,Logic ,Indica Badu,9397500
2966,Kanye West ,God Is,9397276
2967,Kanye West ,No Child Left Behind,9384503
2968,N.E.R.D ,Lemon,9378716
2969,Danny Ocean ,Me Rehúso,9372773
2970,BRS Kash ,Throat Baby (Go Baby),9364381
2971,Moneybagg Yo ,U Played,9362586
2972,Tee Grizzley ,Jettski Grizzley,9346673
2973,Eminem ,You Gon’ Learn,9324695
2974,NF ,The Search,9300054
2975,Eminem ,Lose Yourself  Soundtrack Version,9295897
2976,Lil Wayne ,Dope Niggaz,9294845
2977,Conan Gray ,Memories,9286526
2978,A$AP Rocky ,Bad Company,9282395
2979,Lady Gaga ,Perfect Illusion,9281303
2980,Machine Gun Kelly ,maybe,9258806
2981,Russ ,Civil War,9255921
2982,Twenty One Pilots ,Jumpsuit,9251594
2983,Paul McCartney ,Wonderful Christmastime  Remastered 2011 / Edited Version,9244859
2984,Sabrina Carpenter ,Skin,9235243
2985,Fousheé ,Deep End,9224553
2986,Bing Crosby ,God Rest Ye Merry Gentlemen,9224330
2987,Canaan Smith ,Love You Like That,9203125
2988,Wiz Khalifa ,Ass Drop,9197549
2989,Taylor Swift ,Message In A Bottle (Taylor's Version) (From The Vault),9191385
2990,SZA ,Too Late,9190926
2991,Young Nudy ,EA,9188827
2992,Morgan Wallen ,Neon Eyes,9181860
2993,Mac Miller ,Love Lost,9181651
2994,Taylor Swift ,Afterglow,9181531
2995,Tony Bennett ,Winter Wonderland,9175216
2996,Chris Brown ,Undecided,9174959
2997,Pop Smoke ,Dior,9174919
2998,"Tyler, The Creator ",SWEET / I THOUGHT YOU WANTED TO DANCE,9172142
2999,Hozier ,From Eden,9169153
3000,SZA ,Far,9165509
3001,Jon Pardi ,Last Night Lonely,9164030
3002,Cults ,Gilded Lily,9155390
3003,Young Thug ,Livin It Up,9142435
3004,Lil Tjay ,Beat the Odds,9125613
3005,Rascal Flatts ,I Like The Sound Of That,9121784
3006,Gunna ,WUNNA,9121113
3007,Kanye West ,God Breathed,9092969
3008,Taylor Swift ,The Very First Night (Taylor's Version) (From The Vault),9079618
3009,Huncho Jack ,Modern Slavery,9078243
3010,Ariana Grande ,R.E.M,9070815
3011,Lil Peep ,Save That Shit,9065748
3012,Nat King Cole ,"Caroling, Caroling",9060935
3013,Gunna ,One Call,9059168
3014,Lauv ,Enemies,9046579
3015,Lorde ,Homemade Dynamite,9040472
3016,Kiesza ,Hideaway,9027690
3017,Queen ,Somebody To Love  Remastered 2011,9025470
3018,Mike WiLL Made,It  Gucci On My,9015377
3019,Michael Bublé ,I'll Be Home for Christmas,9014169
3020,Kelsea Ballerini ,I Quit Drinking,9009982
3021,JACKBOYS ,WHAT TO DO?,9003689
3022,Migos ,Modern Day,8990783
3023,Kanye West ,24,8976432
3024,Why Don't We ,8 Letters,8974863
3025,Zac Brown Band ,Loving You Easy,8970880
3026,Pop Smoke ,Aim For The Moon,8964727
3027,Jason Derulo ,Goodbye,8956733
3028,Mason Ramsey ,Famous,8938621
3029,Russ ,Me You,8936046
3030,Jax Jones ,You Don't Know Me,8931376
3031,Ariana Grande ,six thirty,8929412
3032,Kanye West ,Real Friends,8898319
3033,Kanye West ,Water,8888370
3034,"Tyler, The Creator ",HOT WIND BLOWS,8886571
3035,Ed Sheeran ,The A Team,8885019
3036,Justin Bieber ,Children,8881891
3037,Tim McGraw ,Shotgun Rider,8878505
3038,Eric Church ,Like A Wrecking Ball,8861166
3039,Taylor Swift ,22 (Taylor's Version),8853734
3040,Ed Sheeran ,Remember The Name,8842184
3041,Maroon 5 ,Wait,8836722
3042,The Ronettes ,Frosty the Snowman,8832570
3043,Edison Lighthouse ,Love Grows (Where My Rosemary Goes),8827139
3044,Lunay ,Soltera (Remix),8826297
3045,The Weeknd ,Shameless,8816787
3046,Liana Flores ,rises the moon,8815796
3047,Justin Bieber ,Get Used To It,8814143
3048,Metro Boomin ,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],8814007
3049,JACKBOYS ,GANG GANG,8809629
3050,DJ Khaled ,Shining,8801675
3051,The Weeknd ,Here We Go… Again,8799856
3052,Pharrell Williams ,Just A Cloud Away,8794549
3053,A Boogie Wit da Hoodie ,Reply,8788455
3054,Kendrick Lamar ,Mr. Morale,8787790
3055,Tyga ,Dip,8778081
3056,Chloe x Halle ,Do It,8777920
3057,Carly Pearce ,I Hope You’re Happy Now,8759463
3058,Florida Georgia Line ,Sippin’ On Fire,8756616
3059,Logic ,Perfect,8729409
3060,Jake Owen ,American Country Love Song,8725346
3061,XXXTENTACION ,Guardian angel,8721629
3062,One Direction ,End of the Day,8712136
3063,J. Cole ,Lion King On Ice,8711526
3064,Justin Bieber ,Get Me,8709258
3065,Coldplay ,Magic,8695738
3066,Hozier ,Someone New,8689221
3067,Beyoncé ,I'M THAT GIRL,8688324
3068,Ghost Town DJs ,My Boo  Hitman's Club Mix,8688048
3069,Logic ,Confessions of a Dangerous Mind,8681277
3070,Lee Brice ,Drinking Class,8680113
3071,The Kid LAROI ,WITHOUT YOU,8671496
3072,Juice WRLD ,Real Shit,8670421
3073,N.E.R.D ,Lemon,8664745
3074,Logic ,Wassup,8663005
3075,The Weeknd ,Love To Lay,8659148
3076,NLE Choppa ,Shotta Flow,8655600
3077,Ariana Grande ,my hair,8650484
3078,Jess Glynne ,Hold My Hand,8640568
3079,Capital Cities ,Safe And Sound,8634214
3080,Justin Bieber ,Unstable,8632317
3081,5 Seconds of Summer ,Lie To Me,8618376
3082,Labrinth ,All For Us,8615171
3083,PnB Rock ,MIDDLE CHILD,8608291
3084,Kanye West ,Every Hour,8594532
3085,Camila Cabello ,Shameless,8592080
3086,Trinidad Cardona ,Dinero,8579709
3087,Justin Bieber ,Off My Face,8570847
3088,"Tyler, The Creator ",IGOR'S THEME,8570373
3089,Nicki Minaj ,Black Barbies,8567258
3090,OMI ,Hula Hoop,8565299
3091,BTS ,Make It Right,8562444
3092,KIDS SEE GHOSTS ,Feel The Love,8561692
3093,Don Toliver ,What You Need,8545895
3094,Katy Perry ,Bon Appétit,8537072
3095,Wes Walker ,Jordan Belfort,8530253
3096,Kanye West ,Wolves,8513443
3097,Kygo ,Like It Is,8506115
3098,Marshmello ,Light It Up,8493901
3099,Cardi B ,Money Bag,8476429
3100,Jorja Smith ,I Am,8467665
3101,Jessie J ,Flashlight,8465043
3102,J. Cole ,c l o s e,8464233
3103,Eminem ,Darkness,8453459
3104,Drake ,A Keeper,8452277
3105,Morgan Wallen ,More Surprised Than Me,8444957
3106,Eminem ,Unaccommodating,8441936
3107,Trippie Redd ,Under Enemy Arms,8425010
3108,Lil Wayne ,Open Letter,8424701
3109,Juice WRLD ,Flaws And Sins,8422210
3110,Old Dominion ,Break Up with Him,8421060
3111,5 Seconds of Summer ,Want You Back,8413550
3112,Blueface ,Thotiana,8411540
3113,Ty Dolla $ign ,Clout,8401695
3114,Justin Bieber ,We Are,8398536
3115,Kelsea Ballerini ,Peter Pan,8392710
3116,Liam Payne ,Bedroom Floor,8363705
3117,The Pogues ,Fairytale of New York,8351569
3118,Drake ,F*****g Fans,8337639
3119,City Girls ,Twerkulator,8331766
3120,Moneybagg Yo ,Said Sum,8330978
3121,Big Sean ,Bezerk,8319594
3122,Lil Yachty ,One Night (Extended),8319106
3123,Meek Mill ,On Me,8314866
3124,Disclosure ,Magnets,8313605
3125,Noah Cyrus ,Again,8305307
3126,Taylor Swift ,Better Man (Taylor's Version) (From The Vault),8299968
3127,Ed Sheeran ,Eraser,8292015
3128,Tee Grizzley ,2 Vaults,8290622
3129,Ariana Grande ,obvious,8282802
3130,Ella Fitzgerald ,Frosty The Snowman,8280471
3131,Adele ,Strangers By Nature,8270314
3132,The Weeknd ,Losers,8268289
3133,Tori Kelly ,Should’ve Been Us,8266712
3134,Panic! At The Disco ,Emperor's New Clothes,8261368
3135,Juice WRLD ,Sometimes,8259204
3136,Linkin Park ,Heavy,8248011
3137,Machine Gun Kelly ,emo girl,8241881
3138,XXXTENTACION ,I don’t let go,8241320
3139,J Balvin ,In Da Getto,8232659
3140,Kevin Gates ,I Don't Get Tired (#IDGT),8229119
3141,Taylor Swift ,Treacherous (Taylor's Version),8228272
3142,Rita Ora ,Anywhere,8209245
3143,Zara Larsson ,TG4M,8205931
3144,Pop Smoke ,AP  Music from the film Boogie,8190773
3145,Travis Scott ,MAFIA,8175614
3146,Eminem ,The Monster,8165851
3147,21 Savage ,1.5,8142890
3148,Drake ,Star67,8138757
3149,Joji ,Your Man,8137496
3150,Cardi B ,She Bad,8121935
3151,Matoma ,Old Thing Back,8115242
3152,Mac Miller ,Hand Me Downs,8113888
3153,Florida Georgia Line ,Anything Goes,8112692
3154,Big Sean ,Pull Up N Wreck (With Metro Boomin),8109843
3155,Playboi Carti ,Fell In Luv,8108259
3156,Lil Uzi Vert ,Chrome Heart Tags,8104014
3157,Mac Miller ,I Can See,8095550
3158,Drake ,Demons,8094831
3159,Maluma ,Corazón,8093826
3160,Ariana Grande ,Let Me Love You,8088942
3161,Marshmello ,Spotlight,8087582
3162,Kanye West ,Only One,8082074
3163,Bebe Rexha ,The Way I Are (Dance with Somebody),8078299
3164,Clinton Kane ,CHICKEN TENDIES,8066568
3165,Logic ,Yuck,8053931
3166,Beyoncé ,ENERGY,8045563
3167,Mora ,Volando  Remix,8043621
3168,Adele ,Cry Your Heart Out,8043195
3169,Trey Songz ,Nobody Else But You,8038909
3170,Trippie Redd ,Rich MF,8035604
3171,Madison Beer ,Hurts Like Hell,8031805
3172,Tory Lanez ,Jerry Sprunger,8018263
3173,Adele ,Set Fire to the Rain,8012344
3174,Eminem ,Nice Guy,8012032
3175,Vance Joy ,Mess Is Mine,7999465
3176,Desiigner ,Outlet,7995082
3177,Joyner Lucas ,I Love,7988988
3178,Blake Shelton ,Came Here to Forget,7978647
3179,Michael Bublé ,Jingle Bells,7967725
3180,KAROL G ,"Ay, DiOs Mío!",7961628
3181,Lil Nas X ,Old Town Road  Remix,7955045
3182,Selena Gomez ,Boyfriend,7953511
3183,Taylor Swift ,closure,7946488
3184,James Newton Howard ,The Hanging Tree,7942682
3185,Metro Boomin ,Overdue,7932701
3186,ScHoolboy Q ,Studio,7930738
3187,benny blanco ,I Found You,7928970
3188,KYLE ,Hey Julie!,7922944
3189,Lauv ,Chasing Fire,7917360
3190,Selena Gomez ,Me & The Rhythm,7915349
3191,Nipsey Hussle ,Grinding All My Life,7911382
3192,Drake ,I Guess It’s Fuck Me,7902833
3193,Nico & Vinz ,In Your Arms,7901982
3194,Drake ,Now & Forever,7898664
3195,Kanye West ,Wash Us In The Blood,7892729
3196,Kelly Clarkson ,"Santa, Can’t You Hear Me",7884423
3197,Jhené Aiko ,P*$$Y Fairy (OTW),7883160
3198,Kenshi Yonezu ,KICK BACK,7883030
3199,Yeat ,Flawlëss,7883008
3200,Machine Gun Kelly ,Bad Things,7881618
3201,Elle King ,Drunk (And I Don't Wanna Go Home),7880601
3202,"Tyler, The Creator ",CORSO,7880542
3203,Future ,Jumpin on a Jet,7875619
3204,Metro Boomin ,I Can't Save You (Interlude) [with Future & feat. Don Toliver],7874300
3205,Taylor Swift ,Run,7869420
3206,21 Savage ,Many Men,7868475
3207,Huncho Jack ,Black & Chinese,7855035
3208,Taylor Swift ,False God,7850096
3209,Lil Tjay ,Brothers,7843214
3210,Don Toliver ,Flocky Flocky,7797301
3211,Lil Nas X ,DOLLA SIGN SLIME,7797163
3212,The Weeknd ,Best Friends,7796076
3213,Kanye West ,Hands On,7781634
3214,Bing Crosby ,It's Beginning To Look A Lot Like Christmas,7778775
3215,Logic ,Wizard Of Oz,7775504
3216,Bad Bunny ,Bichiyal,7767086
3217,Lil Uzi Vert ,Bust Me,7766574
3218,Selena Gomez ,Feel Me,7761840
3219,Hugh Jackman ,Come Alive,7761640
3220,Ellie Goulding ,Burn,7759742
3221,Shawn Mendes ,Like To Be You feat. Julia Michaels,7758886
3222,Luke Combs ,Without You,7746072
3223,Adele ,Love In The Dark,7745617
3224,Eli Young Band ,Love Ain't,7742301
3225,Adele ,To Be Loved,7739743
3226,Bo Burnham ,Shit,7737367
3227,JACKBOYS ,GATTI,7732711
3228,Beyoncé ,COZY,7725012
3229,Lauv ,Getting Over You,7714447
3230,Kendrick Lamar ,Rich  Interlude,7706704
3231,Bing Crosby ,Mele Kalikimaka (Merry Christmas),7700717
3232,XXXTENTACION ,"ALONE, PART 3",7697606
3233,Mac Miller ,Complicated,7687137
3234,Ed Sheeran ,Bibia Be Ye Ye,7676756
3235,NF ,When I Grow Up,7662943
3236,Future ,D4L,7660258
3237,Lorde ,Team,7647321
3238,Machine Gun Kelly ,ay!,7646419
3239,Lizzo ,Tempo,7616482
3240,Drake ,Calling My Name,7595404
3241,Taylor Swift ,We Are Never Ever Getting Back Together (Taylor's Version),7589170
3242,Mac Miller ,Hurt Feelings,7577414
3243,Shakira ,Monotonía,7571267
3244,Lil Uzi Vert ,UnFazed,7571186
3245,Shakira ,Te Felicito,7558521
3246,Bing Crosby ,The Little Drummer Boy,7539973
3247,Lil Baby ,Not Finished,7537591
3248,Jeremy Zucker ,you were good to me,7532907
3249,Billie Eilish ,bitches broken hearts,7526772
3250,DJ Khaled ,I DID IT,7524625
3251,Kanye West ,Feedback,7492573
3252,The Chainsmokers ,Do You Mean,7490687
3253,Kanye West ,Keep My Spirit Alive,7488984
3254,Joji ,Daylight,7484957
3255,Luke Combs ,Six Feet Apart,7483977
3256,Machine Gun Kelly ,DAYWALKER!,7483506
3257,Jason Derulo ,Cheyenne,7476779
3258,Drake ,Madonna,7476593
3259,Nat King Cole Trio ,All I Want For Christmas (Is My Two Front Teeth)  Remastered,7473568
3260,Cash Cash ,All My Love,7466960
3261,BTS ,Yet To Come,7462911
3262,Hozier ,Work Song,7461133
3263,Tory Lanez ,The Take,7453591
3264,Metro Boomin ,Feel The Fiyaaaah,7451371
3265,Ariana Grande ,pete davidson,7449868
3266,Trippie Redd ,Love Scars 3,7438635
3267,Wiz Khalifa ,King of Everything,7434968
3268,Quality Control ,Big Rocks (Offset feat. Young Thug),7424965
3269,Niall Horan ,No Judgement,7424051
3270,Carly Rae Jepsen ,Run Away With Me,7410209
3271,Don Toliver ,Cardigan,7409165
3272,Dr. Dre ,The Next Episode,7408055
3273,6ix9ine ,RONDO,7392608
3274,Pharrell Williams ,Happy,7391023
3275,Ariana Grande ,goodnight n go,7390930
3276,Future ,WIFI LIT,7377656
3277,A$AP Rocky ,Electric Body,7377273
3278,T.I. ,No Mediocre,7375764
3279,PnB Rock ,I Like Girls,7374548
3280,Chris Brown ,Loyal,7361146
3281,Sigala ,Easy Love,7355933
3282,Lauv ,Easy Love,7351713
3283,Kid Ink ,Body Language,7340156
3284,Tech N9ne ,Hood Go Crazy,7337879
3285,Tiësto ,Don't Be Shy,7331300
3286,Young Stoner Life ,Diamonds Dancing,7330415
3287,Kacey Musgraves ,justified,7326605
3288,Lana Del Rey ,Love,7315854
3289,James Arthur ,Can I Be Him,7314871
3290,Ariana Grande ,the light is coming,7312229
3291,Lana Del Rey ,Lust for Life,7311437
3292,Kygo ,Here for You,7302884
3293,Carpenters ,Silent Night,7302712
3294,Drake ,Currents,7299627
3295,Katy Perry ,Small Talk,7297956
3296,Ed Sheeran ,Save Myself,7291701
3297,Pop Smoke ,Gangstas,7281938
3298,Lil Yachty ,Get Dripped,7278487
3299,Ariana Grande ,Last Christmas,7276708
3300,Conan Gray ,People Watching,7269352
3301,J. Cole ,Fire Squad,7262802
3302,Logic ,The Return,7262410
3303,Lana Del Rey ,Doin' Time,7261617
3304,Logic ,BoomTrap Protocol,7258064
3305,Camila Cabello ,Consequences  orchestra,7254768
3306,NLE Choppa ,Final Warning,7252444
3307,"Tyler, The Creator ",WHAT'S GOOD,7246602
3308,Post Malone ,Wasting Angels,7246367
3309,Michael Bublé ,All I Want for Christmas Is You,7242714
3310,Zedd ,Beautiful Now,7233468
3311,Drake ,The Remorse,7228769
3312,Lil Wayne ,Problems,7227361
3313,Post Malone ,Lemon Tree,7226217
3314,50 Cent ,In Da Club,7212722
3315,Perry Como ,Here We Come aCaroling / We Wish You a Merry Christmas,7211100
3316,Conrad Sewell ,Hold Me Up,7207050
3317,Daya ,Words,7193653
3318,BLACKPINK ,Bet You Wanna,7186746
3319,Taylor Swift ,I Almost Do (Taylor's Version),7186116
3320,Gunna ,RELENTLESS,7184801
3321,Carlos Vives ,"Colombia, Mi Encanto",7180475
3322,Mother Mother ,Burning Pile,7179564
3323,21 Savage ,Slidin,7176318
